configuration,epoch,optimizer_update,mean_total_training_loss,mean_scene_loss,mean_ip_loss,ip_loss_semantics,ending_learning_rate,validation_retrieval_loss,mean_source_separation_margin,patience,final_selected_checkpoint
cfg_k16,55,4180,1.551132532,1.528385863,0.02274666868,derived_weighted,0.0008678619553,0.4311079681,0.2746692002,0,false
cfg_k16,60,4560,1.497700473,1.475331749,0.0223687241,derived_weighted,0.0008386407858,0.4149934649,0.2785753608,0,false
cfg_k16,65,4940,1.434946119,1.413824526,0.02112159227,derived_weighted,0.0008071063563,0.4076849222,0.2809584439,0,false
cfg_k16,70,5320,1.39480213,1.373414017,0.02138811287,derived_weighted,0.0007734740791,0.415130645,0.2795577347,1,false
cfg_k16,75,5700,1.350064546,1.329480997,0.02058354867,derived_weighted,0.0007379736965,0.3895715475,0.2829481065,0,false
cfg_k16,80,6080,1.320533731,1.300626774,0.01990695784,derived_weighted,0.0007008477123,0.3988686502,0.2825617194,1,false
cfg_k16,85,6460,1.286433824,1.266467929,0.0199658946,derived_weighted,0.0006623497346,0.3840662837,0.2868583202,0,false
cfg_k16,90,6840,1.258887452,1.239094257,0.01979319453,derived_weighted,0.0006227427436,0.3773686886,0.2868089974,0,false
cfg_k16,95,7220,1.228401948,1.209365591,0.01903635703,derived_weighted,0.0005822972951,0.3772826791,0.2881452441,1,true
cfg_k16,100,7600,1.201333981,1.182435766,0.01889821573,derived_weighted,0.0005412896727,0.3872306347,0.287368387,2,false
cfg_k16,105,7980,1.177046584,1.157961982,0.01908460228,derived_weighted,0.0005,0.380168736,0.2865240574,3,false
cfg_k16,110,8360,1.159419197,1.140933541,0.01848565622,derived_weighted,0.0004587103273,0.381359458,0.286709547,4,false
cfg_intensity_05,5,380,6.46262117,5.807008447,0.6556127257,raw,0.0005,1.961016178,0.1064673737,0,false
cfg_intensity_05,10,760,4.549355331,4.466667636,0.08268768512,raw,0.001,1.187961817,0.1622578204,0,false
cfg_intensity_05,15,1140,3.488480003,3.446608257,0.0418717461,raw,0.0009982922465,0.8297126293,0.2041855752,0,false
cfg_intensity_05,20,1520,2.78998789,2.755456212,0.03453168012,raw,0.0009931806517,0.7024211884,0.223191008,0,false
cfg_intensity_05,25,1900,2.361872299,2.330964719,0.03090757955,raw,0.000984700133,0.6310535669,0.2356737256,0,false
cfg_intensity_05,30,2280,2.096488263,2.067822477,0.028665785,raw,0.0009729086209,0.5664513111,0.2461559623,0,false
cfg_intensity_05,35,2660,1.913586154,1.886512181,0.02707397123,raw,0.0009578866633,0.5058150291,0.2565804124,0,false
cfg_intensity_05,40,3040,1.788028279,1.762442169,0.02558611034,raw,0.0009397368756,0.4803610742,0.2622898221,0,false
cfg_intensity_05,45,3420,1.683570372,1.659126663,0.02444370821,raw,0.0009185832391,0.432970047,0.2701063156,0,false
cfg_intensity_05,50,3800,1.597070004,1.573203421,0.02386658517,raw,0.0008945702547,0.4295399189,0.2728077769,0,false
cfg_intensity_05,55,4180,1.534980437,1.511705305,0.02327513559,raw,0.0008678619553,0.3965222836,0.2791395485,0,false
cfg_intensity_05,60,4560,1.468222005,1.444853398,0.0233686044,raw,0.0008386407858,0.3951217234,0.2824351788,0,false
cfg_intensity_05,65,4940,1.419534433,1.396985731,0.02254870029,raw,0.0008071063563,0.3665049076,0.2855558693,0,false
cfg_intensity_05,70,5320,1.371597956,1.349654264,0.02194368896,raw,0.0007734740791,0.3874616325,0.2811928391,1,false
cfg_intensity_05,75,5700,1.338367991,1.317088769,0.02127922366,raw,0.0007379736965,0.3771957755,0.2853105962,2,false
cfg_intensity_05,80,6080,1.29782255,1.276920163,0.02090238448,raw,0.0007008477123,0.3610779047,0.2898331583,0,false
cfg_intensity_05,85,6460,1.264246716,1.243542906,0.02070380959,raw,0.0006623497346,0.3506067395,0.2927570939,0,false
cfg_intensity_05,90,6840,1.232864592,1.21228041,0.02058418125,raw,0.0006227427436,0.3499675095,0.2917855382,0,false
cfg_intensity_05,95,7220,1.210937522,1.190673325,0.02026419831,raw,0.0005822972951,0.3468101621,0.2931908071,0,false
cfg_intensity_05,100,7600,1.184304388,1.16417826,0.02012613188,raw,0.0005412896727,0.3379923701,0.2956646681,0,false
cfg_intensity_05,105,7980,1.166418125,1.146678581,0.01973954782,raw,0.0005,0.341463089,0.2934025526,1,false
cfg_intensity_05,110,8360,1.144233467,1.124618398,0.01961507127,raw,0.0004587103273,0.3371403217,0.2963069081,0,false
cfg_intensity_05,115,8740,1.125140543,1.105986482,0.01915406301,raw,0.0004177027049,0.3344031274,0.2976343632,0,false
cfg_intensity_05,120,9120,1.106609189,1.087421478,0.01918770987,raw,0.0003772572564,0.3416556418,0.2957266569,1,false
cfg_intensity_05,125,9500,1.09347614,1.074579629,0.01889650867,raw,0.0003376502654,0.3291490674,0.2980139554,0,false
cfg_intensity_05,130,9880,1.079640074,1.060649029,0.01899104582,raw,0.0002991522877,0.3280217648,0.2989702225,0,false
cfg_intensity_05,135,10260,1.068241888,1.049364111,0.01887777402,raw,0.0002620263035,0.326477468,0.2986705303,0,false
cfg_intensity_05,140,10640,1.058348866,1.039997295,0.01835157174,raw,0.0002265259209,0.3258300722,0.2991167009,0,false
cfg_intensity_05,145,11020,1.050035476,1.031537809,0.01849766622,raw,0.0001928936437,0.3268478811,0.298710525,1,false
cfg_intensity_05,150,11400,1.040271952,1.021715437,0.01855651746,raw,0.0001613592142,0.3253961504,0.2992818654,0,false
cfg_intensity_05,155,11780,1.032326381,1.013979992,0.01834638694,raw,0.0001321380447,0.3240891695,0.3001768589,0,false
cfg_intensity_05,160,12160,1.023907357,1.00560376,0.01830359672,raw,0.0001054297453,0.3233415484,0.2999751866,0,true
cfg_intensity_05,165,12540,1.014332347,0.9963187658,0.01801358068,raw,8.141676087e-05,0.3255859315,0.3000913262,1,false
cfg_intensity_05,170,12920,1.016580394,0.9984974433,0.01808295157,raw,6.02631244e-05,0.3236454725,0.3005863726,2,false
cfg_intensity_05,175,13300,1.010919213,0.9928120361,0.01810717803,raw,4.211333667e-05,0.324380368,0.3003795743,3,false
cfg_intensity_05,180,13680,1.005260219,0.9871571296,0.01810308905,raw,2.709137915e-05,0.324452281,0.3007258177,4,false
cfg_intensity_20,5,380,6.883213444,6.21184637,0.6713670644,raw,0.0005,2.196593285,0.09086275101,0,false
